Epoch: [2][55/100], lr: 0.00100	Time 0.231 (0.444)	Data 0.000 (0.208)	Loss 1.0843 (1.0604)	Prec@1 16.667 (44.048)	Prec@5 16.667 (44.048)
Epoch: [2][60/100], lr: 0.00100	Time 0.231 (0.427)	Data 0.000 (0.191)	Loss 0.9061 (1.0517)	Prec@1 66.667 (44.809)	Prec@5 66.667 (44.809)
Epoch: [2][65/100], lr: 0.00100	Time 0.231 (0.412)	Data 0.000 (0.176)	Loss 1.0129 (1.0537)	Prec@1 33.333 (44.192)	Prec@5 33.333 (44.192)
Epoch: [2][70/100], lr: 0.00100	Time 0.231 (0.399)	Data 0.000 (0.164)	Loss 0.9570 (1.0528)	Prec@1 66.667 (44.131)	Prec@5 66.667 (44.131)
Epoch: [2][75/100], lr: 0.00100	Time 0.230 (0.388)	Data 0.000 (0.153)	Loss 0.8687 (1.0482)	Prec@1 50.000 (44.737)	Prec@5 50.000 (44.737)
Epoch: [2][80/100], lr: 0.00100	Time 0.232 (0.378)	Data 0.001 (0.144)	Loss 1.0499 (1.0441)	Prec@1 33.333 (44.650)	Prec@5 33.333 (44.650)
Epoch: [2][85/100], lr: 0.00100	Time 0.231 (0.370)	Data 0.000 (0.135)	Loss 0.9943 (1.0391)	Prec@1 66.667 (45.349)	Prec@5 66.667 (45.349)
Epoch: [2][90/100], lr: 0.00100	Time 0.232 (0.362)	Data 0.000 (0.128)	Loss 0.9632 (1.0346)	Prec@1 50.000 (46.154)	Prec@5 50.000 (46.154)
Epoch: [2][95/100], lr: 0.00100	Time 0.231 (0.355)	Data 0.000 (0.121)	Loss 0.9026 (1.0338)	Prec@1 66.667 (46.528)	Prec@5 66.667 (46.528)
Test: [0/25]	Time 11.947 (11.947)	Loss 0.3378 (0.3378)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [5/25]	Time 0.057 (2.042)	Loss 0.4397 (0.6011)	Prec@1 100.000 (77.778)	Prec@5 100.000 (77.778)
